index	name	party	state	Foreign	Education	Individual property	Financial	Military	Law	Health service	Health expenses	Funds	Public transportation
1179	Garamendi	D	CA	-3.927053	0.505502	-4.186768	-4.284743	-0.355876	-1.210099	-1.561103	-3.164124	-1.440574	1.841855
1180	Griffith	R	AL	4.948375	4.242162	3.622019	2.248888	1.156786	0.406067	1.554823	3.525947	1.838962	1.132629
1181	Jackson Lee	D	TX	-5.547273	-2.202621	-2.238463	-2.421569	-1.791753	-3.976048	-0.135496	-4.164515	-1.110951	2.646449
1182	Deutch	D	FL	-4.856984	-0.390117	-4.255803	-2.447936	1.578554	-5.166264	-2.306154	-6.284762	-2.570892	-0.888657
1183	Critz	D	PA	-2.065626	-0.028087	-2.385526	-1.566134	2.49913	-1.305656	-6.053605	-2.104195	-1.396186	2.971165
1184	Djou	R	HI	0.707295	-2.417227	2.49919	2.145971	2.382866	-0.907513	1.525611	0.377821	0.757756	-1.720941
1185	Graves	R	MO	4.618088	1.099206	3.571424	2.59768	2.70693	0.841518	-0.29854	4.763797	0.060063	-1.940844
1186	Graves	R	GA	5.971311	-4.599818	7.703515	0.672808	-4.035606	7.521791	5.554724	6.785243	6.456488	0.386314
1187	Stutzman	R	IN	4.560208	-2.127528	6.881639	1.682941	-4.08017	2.844832	2.366131	6.392333	3.418257	-0.167747
1188	Reed	R	NY	1.906566	0.659835	3.97023	1.3601	0.943689	1.958859	0.171696	4.088570	1.669313	1.259690
1189	Adams	R	FL	4.935857	-0.740710	5.22979	0.360456	-0.836016	-0.205899	3.282938	4.759053	0.32007	0.422942
1190	Amash	R	MI	4.170658	-11.648374	4.045252	0.470491	-16.764099	7.72896	-2.29355	3.749583	1.391071	-5.010995
1191	Barletta	R	PA	2.376449	3.357879	3.317417	3.057712	3.627943	2.054792	-0.214217	2.145035	1.763556	0.351885
1192	Bass	D	CA	-4.063475	-1.690471	-3.011521	-3.706947	-2.200619	-3.71983	0.299059	-7.086457	-2.841002	-0.125032
1193	Bass	R	NH	0.962154	1.687282	1.491127	3.539562	1.58518	-0.679805	2.410264	0.938392	1.080562	-2.469755
1194	Benishek	R	MI	3.133775	-0.130056	3.967109	3.153455	0.52574	5.02793	2.736315	4.393732	2.771004	1.207236
1195	Berg	R	ND	2.215139	1.807392	2.732287	1.863352	-0.036083	1.538412	0.405823	5.420038	1.524308	0.400864
1196	Black	R	TN	3.072664	2.402347	5.138421	2.10945	1.657502	1.937202	1.239397	4.109196	3.580804	0.360797
1197	Brooks	R	AL	3.037146	-1.297418	5.568194	-0.08246	1.392129	3.598584	3.072592	3.569579	2.639264	-0.098359
1198	Bucshon	R	IN	3.590969	0.340084	4.243767	2.041518	0.30628	2.097122	0.954067	4.154965	0.738658	-0.484409
1199	Buerkle	R	NY	4.019967	-0.471713	4.055024	1.640592	0.554759	2.03836	1.801613	5.087675	2.329403	-0.453062
1200	Canseco	R	TX	4.121516	0.492101	3.258579	1.555202	0.106329	0.828874	0.803243	3.441938	1.852261	-0.855502
1201	Carney	D	DE	-2.923885	-0.893120	-1.938366	-0.695187	-0.156832	-3.429927	1.813453	-1.816848	-0.803724	-3.382876
1202	Cicilline	D	RI	-5.706672	-1.785216	-3.658387	-2.685951	-0.230371	-2.258525	-2.76051	-3.990700	-1.523026	0.442395
1203	Clarke	D	MI	-6.022948	-2.730341	-5.495803	-4.448327	-1.647029	-1.425157	-1.120566	-4.327119	-3.743418	1.937193
1204	Clarke	D	NY	-5.127702	-5.740325	-5.539847	-4.930595	-2.861122	-1.708733	-3.182004	-5.796294	-2.863677	2.352147
1205	Cravaack	R	MN	3.937239	0.857581	2.550565	1.528114	1.888985	1.267467	-1.36624	5.365551	2.847814	1.988879
1206	Crawford	R	AR	3.917849	3.533832	3.273692	2.379532	2.472083	1.307193	0.951389	2.837803	1.938622	1.191662
1207	Denham	R	CA	2.312952	1.690477	3.843003	1.756916	1.998372	2.56999	1.444685	3.776094	1.172719	0.741810
1208	DesJarlais	R	TN	3.766244	-1.946135	5.738071	1.587687	0.785237	0.310925	-1.01191	5.927386	2.443595	1.894904
1209	Dold	R	IL	1.063708	1.712752	1.643403	2.183663	1.828466	1.171564	4.253656	1.309718	0.031254	-0.931800
1210	Duffy	R	WI	1.889425	0.387378	3.392622	3.531644	0.349163	1.721476	0.362605	3.169391	3.077174	0.812898
1211	Duncan	R	SC	5.154914	-3.165023	4.07373	0.019534	-2.077257	3.449582	1.831471	5.454242	5.790757	0.489849
1212	Duncan	R	TN	3.437614	-5.374515	3.913343	0.247973	-6.859814	4.40523	1.652803	3.096568	0.431146	0.744240
1213	Edwards	D	MD	-6.034446	-3.352140	-6.264314	-5.804896	-0.989928	-3.481356	0.370563	-6.672471	-3.154988	-0.418392
1214	Ellmers	R	NC	4.391598	3.038777	3.874516	3.034844	0.01369	1.457619	1.597195	3.763304	1.97042	0.756019
1215	Farenthold	R	TX	3.254389	0.793754	5.490769	2.478405	-1.138143	2.345442	1.059554	3.708261	3.377232	2.740852
1216	Fincher	R	TN	4.524387	0.271977	4.723397	2.933807	2.185799	1.842284	-0.315316	3.766339	1.838861	-1.730081
1217	Fitzpatrick	R	PA	1.593199	-0.338612	1.973155	1.500554	2.764415	0.130757	0.545737	2.215274	0.174024	0.583534
1218	Fleischmann	R	TN	3.469976	0.297565	5.486613	2.814335	1.935678	1.267827	0.927199	4.073663	2.616685	-0.717257
1219	Flores	R	TX	5.066329	1.068577	5.621035	3.989355	-0.86125	1.598941	-0.337876	4.755636	4.295735	0.259031
1220	Gardner	R	CO	6.048766	-0.706260	5.565101	1.173005	1.264218	1.807904	0.864108	5.423212	2.496728	0.906201
1221	Garrett	R	NJ	2.642178	-1.729294	6.186173	0.418951	-1.977879	1.629254	3.387962	4.559664	4.468748	1.311884
1222	Gibbs	R	OH	3.724191	2.729067	4.924287	3.912141	0.120328	1.72393	0.445745	3.884006	0.994308	-1.985534
1223	Gibson	R	NY	0.886486	-1.169592	2.685793	1.420015	-2.227233	2.652508	1.324043	1.440682	0.641279	0.342097
1224	Gosar	R	AZ	2.656898	-0.199624	3.656976	0.801718	-1.477254	2.653286	3.285211	3.746450	3.967795	-1.174120
1225	Gowdy	R	SC	4.610551	-1.374715	3.524785	0.514811	-0.914024	0.780058	0.15008	4.532777	6.133066	0.604732
1226	Griffin	R	AR	3.862813	2.999050	4.704041	1.918511	2.406834	1.697167	2.498706	2.561929	1.134675	-0.547252
